Name,Street Number,Route,City,State,Country,Zip Code,Latitude,Longitude,Description,Phone Number,Sunday Hours,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Photo URL,Rating,URL,Website,TAMU Affiliation,Resource Type
Brazos Interfaith Immigration Network,2500,South College Avenue,Bryan,Texas,United States,77801,30.6444544,-96.36290389999999,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 393-8228,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,AUacShjuW0l_f0OCs6vUoPnYzRbXOKTgzRm-RjWKc-ruCPQnCnqlihiwsDauzsYjL9o7ZyKfVz1-WDoukbMnfHtljtdsfNc5-UUooP3CMrUhB-cZg8Ln8N_Ly8giveEMh48h-DQW5H8DqY8xiFZ8HLVWA_6P5qDfJWoPPDczr_HSUUmPbFvC,5,https://maps.google.com/?cid=8838382452676018117,https://brazosimmigration.com/,No,Error: Not Found
Twin City Mission Bridge,410,South Randolph Avenue,Bryan,Texas,United States,77803,30.6690231,-96.3805778,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 822-1492,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShh9fqzGFqQ-3K7JT3a13njmTTZu6Iw75k71WA0Fx0OGC2EdKNl1Xr2CKLX9mDCStKaScMuHwZxGKOQWM4j9BhU4I3RBVxOG44OPdTyFX1DPpz71cUhg11X033W1JwC6V45KKVgoZDnA811IVFg6GyPCnh965WRT-QCFryKYp4r6lWeR,4.1,https://maps.google.com/?cid=2145362696860666391,http://twincitymission.org/,No,Error: Not Found
The Elizabeth House Maternity Home,2911,Texas Avenue South,College Station,Texas,United States,77845,30.5984685,-96.296838,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 676-9416,Sunday: Open 24 hours,Monday: Open 24 hours,Tuesday: Open 24 hours,Wednesday: Open 24 hours,Thursday: Open 24 hours,Friday: Open 24 hours,Saturday: Open 24 hours,AUacShh9ydzQa7yA03svqe2AkpXgHYZK6PLPB9pJK5H3HCzRTW1CS1ML3HV-AgYh0qxB5W8IVp7FrM6ySKqtP2TCMk-WBJ6oLf7GLE4JHVQg-iWHlOSsfkKQlBcMYBabpYKBT6lZWrs8GCBL36e88n92aSguZ__bWkXxDULMiCSdH8aQc0Uo,5,https://maps.google.com/?cid=11475331361794472719,http://www.elizhouse.com/,No,Error: Not Found
Big Brothers Big Sisters,315,Tauber Street,College Station,Texas,United States,77840,30.6200488,-96.3464578,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 224-3660,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,3,https://maps.google.com/?cid=11746918291455438641,http://www.bbbsbrazos.com/,No,Error: Not Found
Brazos County Probation Office,321,East 26th Street,Bryan,Texas,United States,77803,30.6731634,-96.3706964,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 361-4410,Sunday: Closed,Monday: 7:00 AM – 5:00 PM,Tuesday: 7:00 AM – 5:00 PM,Wednesday: 7:00 AM – 5:00 PM,Thursday: 7:00 AM – 5:00 PM,Friday: 7:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,4,https://maps.google.com/?cid=2411293979060497676,http://www.brazoscountytx.gov/index.aspx?NID=287,No,Error: Not Found
Brazos County Health Department,201,North Texas Avenue,Bryan,Texas,United States,77803,30.6745998,-96.3691221,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 361-4440,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,AUacShgoj6KJ0YTrRbVYcHfc6JyySkkhHNz9PLnGTOQyWmgMJM3aTLTCaGD2ai8uI2bsCmi4ZpyrForPa8nLt5hONsP-8FuIrRGDo185MJDXPPPj1Uec2s1BxB4hgMfbfSRASvePubm4PND0CHvCNrL6HAAfOpakyj5CnDJaPLKe80DEWYgF,4.4,https://maps.google.com/?cid=4298873280041421323,http://www.brazoscountytx.gov/index.aspx?NID=161&MOBILE=OFF,No,Error: Not Found
Brazos Valley Affordable Housing Corp.,4001,East 29th Street,Bryan,Texas,United States,77802,30.6461334,-96.33149709999999,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 595-2809,Sunday: Closed,"Monday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Tuesday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Wednesday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Thursday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Friday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM",Saturday: Closed,AUacShhxFfxcj_C3EaG-4o_N1KLn74eIpSs413_LQNVc_FCnrJfX_MbmWshTia1thFulfAE0hCVF2wva36PtuACkcuRJqrjtjEiwPmH4LzmezIDs4aKJZip2zILwLMwQTDe-HPzR5V2KY3BwDBhhp7sqwPwV8otRzzF5faajFUN_Qe2LujIf,Error: Not Found,https://maps.google.com/?cid=498362278283668225,https://bvahc.org/,No,Error: Not Found
Center for Regional Services,3991,East 29th Street,Bryan,Texas,United States,77802,30.6453936,-96.33226309999999,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 595-2800,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,Error: Not Found,https://maps.google.com/?cid=588097649993113265,http://www.bvcog.org/,No,Error: Not Found
Brazos Valley Council on Alcohol and Substance Abuse,4001,East 29th Street,Bryan,Texas,United States,77802,30.6464822,-96.3319113,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 846-3560,Sunday: Closed,"Monday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Tuesday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Wednesday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Thursday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM","Friday: 8:00 AM – 12:00 PM, 1:00 – 5:00 PM",Saturday: Closed,AUacShg7tWG0mxjJ3SzDONuKwS-iLnffMUDWbM-4fbrce24qgFWZR30wXCgKE8Cg31dTBcgCCJCyp56KCqYbCGqNKkfR5Kew5B3XhBCjQ2K7mbYq85ZoEdyL17T6k1aDOeWt9qt_27D36G2oY6kRohQNwhfri_9O8o8W1g97hHsqnIOesCVi,4,https://maps.google.com/?cid=5232201569578486203,http://www.bvcasa.org/,No,Error: Not Found
Brazos Valley Food Bank,1501,Independence Avenue,Bryan,Texas,United States,77803,30.65998279999999,-96.4076106,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 779-3663,Sunday: Closed,Monday: 8:30 AM – 4:30 PM,Tuesday: 8:30 AM – 4:30 PM,Wednesday: 8:30 AM – 4:30 PM,Thursday: 8:30 AM – 4:30 PM,Friday: 8:30 AM – 4:30 PM,Saturday: Closed,AUacShj5k5O57A-b-okOE-JqSGosprfCy4D0gYAHCUOZ3FBhY2XpgRGdhHIo2AOD5Xtudo_RfnmJRNNlvIq11liqWVQsGBODerZQG1bM5vfC_GjS-BpDbaURqXnoQr9heke1R3T77BsDSMi7qkaasfg6MyygDVY9xAxigvJaf2OvuxrzW_iI,4.5,https://maps.google.com/?cid=10460053944986406616,https://www.bvfb.org/,No,Error: Not Found
Housing Authority/City Bryan,1306,Beck Street,Bryan,Texas,United States,77803,30.6651587,-96.3807033,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 822-2013,Sunday: Closed,Monday: 8:00 AM – 4:00 PM,Tuesday: 8:00 AM – 4:00 PM,Wednesday: 8:00 AM – 4:00 PM,Thursday: 8:00 AM – 4:00 PM,Friday: 8:00 AM – 4:00 PM,Saturday: Closed,Error: No Photo,3.3,https://maps.google.com/?cid=6089719558158253824,http://www.bryanhousingauthority.com/,No,Error: Not Found
Bryan Community Development,1803,Greenfield Plaza,Bryan,Texas,United States,77802,30.65146969999999,-96.33445499999999,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 209-5175,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,3,https://maps.google.com/?cid=8514310717566494249,https://www.bryantx.gov/community-development/,No,Error: Not Found
College Station Community Development,511,University Drive East,College Station,Texas,United States,77840,30.6321445,-96.3311233,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 764-3778,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,Error: Not Found,https://maps.google.com/?cid=8560417440756215675,https://www.cstx.gov/departments___city_hall/commserv/development,No,Error: Not Found
Family Promise of Bryan-College Station,1401,West Martin Luther King Junior Street,Bryan,Texas,United States,77802,30.68511119999999,-96.386135,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 268-4309,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: Not Found,Error: No Photo,4.8,https://maps.google.com/?cid=10153993638665176731,http://www.familypromisebcs.org/about-us/,No,Error: Not Found
Bryan College Station Habitat For Humanity Restore,2211,Maloney Avenue,Bryan,Texas,United States,77801,30.6494664,-96.3612546,"Workforce (WIOA and TANF), Childcare, Housing, GED classes, Indigent Health Care",(979) 775-8122,Sunday: Closed,Monday: Closed,Tuesday: 10:00 AM – 6:00 PM,Wednesday: 10:00 AM – 6:00 PM,Thursday: 10:00 AM – 6:00 PM,Friday: 10:00 AM – 6:00 PM,Saturday: 10:00 AM – 6:00 PM,AUacShhi_7sdp70CZezNsV5HlKq6lWZOV1szt1ywz5o2noxhZaP5mEUOWEmTnTt_yE1U2xQrFKfwixISrrj4ycQY6ZZhKag_m1SbUfj6csCAmSRqQziCbTs_T33pFe5RUScoVUe6CzPHyemh7IS_Ek1pxEZDXiWmTIOlnARVVA8SwZlyISgZ,4.5,https://maps.google.com/?cid=18219944730877011504,https://habitatbcs.org/restore/,No,Error: Not Found
Health For All,3030 East,West 29th Street,Bryan,Texas,United States,77802,30.6551055,-96.3419723,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 774-4176,Sunday: Closed,Monday: 8:20 AM – 5:00 PM,Tuesday: 8:20 AM – 5:00 PM,Wednesday: 8:20 AM – 6:00 PM,Thursday: 8:20 AM – 5:00 PM,Friday: 8:20 AM – 12:00 PM,Saturday: Closed,Error: No Photo,3,https://maps.google.com/?cid=11028570945545156069,http://www.hlth4all.org/,No,Error: Not Found
La Hacienda Treatment Center - Community Outreach Center,3000,Weslayan Street,Houston,Texas,United States,77027,29.7377826,-95.4422197,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(713) 977-5202,Sunday: 8:00 AM – 5:00 PM,Monday: 7:00 AM – 6:00 PM,Tuesday: 7:00 AM – 6:00 PM,Wednesday: 7:00 AM – 6:00 PM,Thursday: 7:00 AM – 6:00 PM,Friday: 7:00 AM – 6:00 PM,Saturday: 8:00 AM – 5:00 PM,Error: No Photo,1,https://maps.google.com/?cid=5129400830632330791,https://www.lahacienda.com/,No,Error: Not Found
Lone Star Legal Aid,1714,East 29th Street,Bryan,Texas,United States,77802,30.66100700000001,-96.356482,"Substance Abuse Counseling, Prevention Services. BVCASA is the only non-profit organization in the Brazos Valley with comprehensive youth and adult programs, including state-approved MIP and DWI classes, drug education, substance abuse and tobacco prevention for youth and adults, screening services, outpatient treatment for youth and adults, and residential and outpatient aftercare treatment for adults in the Texas Department of Criminal Justice Substance Abuse Treatment Program",(979) 775-5050,Sunday: Closed,Monday: 8:00 AM – 5:00 PM,Tuesday: 8:00 AM – 5:00 PM,Wednesday: 8:00 AM – 5:00 PM,Thursday: 8:00 AM – 5:00 PM,Friday: 8:00 AM – 5:00 PM,Saturday: Closed,Error: No Photo,3,https://maps.google.com/?cid=1119730631337238228,https://www.lonestarlegal.org/,No,Error: Not Found
